display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16309] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16310] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16311] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16312] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16313] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16313] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16314] Sample buffers: yes
display  I           wgl_disp.c:259  display_pixel_format             [   0.16315] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.16316] color: 32 (rgba 8888), depth: 24, stencil: 0, acc: 16161616, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.16317] Score is : 1798
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16318] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16318] Decoding visual no. 21...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16323] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16324] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16325] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16326] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16327] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16328] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16328] Sample buffers: yes
display  I           wgl_disp.c:259  display_pixel_format             [   0.16329] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.16330] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 16161616, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.16331] Score is : 1798
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16332] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16332] Decoding visual no. 22...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16337] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16338] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16339] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16340] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16341] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16342] Depth buffer: 24 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16342] Sample buffers: yes
display  I           wgl_disp.c:259  display_pixel_format             [   0.16343] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.16344] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 16161616, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.16345] Score is : 1798
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16346] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16347] Decoding visual no. 23...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16352] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16353] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16353] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16354] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16355] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16356] Depth buffer: 0 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16357] Sample buffers: yes
display  I           wgl_disp.c:259  display_pixel_format             [   0.16357] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.16358] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 16161616, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.16359] Score is : 1750
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16360] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16361] Decoding visual no. 24...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16366] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16366] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16367] Single-buffer: no
display  I           wgl_disp.c:248  display_pixel_format             [   0.16368] Swap method: flip
display  I           wgl_disp.c:251  display_pixel_format             [   0.16369] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:257  display_pixel_format             [   0.16370] Depth buffer: 0 bits
display  I           wgl_disp.c:258  display_pixel_format             [   0.16370] Sample buffers: yes
display  I           wgl_disp.c:259  display_pixel_format             [   0.16371] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.16372] color: 32 (rgba 8888), depth: 0, stencil: 0, acc: 16161616, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.16373] Score is : 1750
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.16374] -- 
display  I           wgl_disp.c:770  get_available_pixel_formats_ext  [   0.16374] Decoding visual no. 25...
display  I           wgl_disp.c:341  decode_pixel_format_attrib       [   0.16380] Decoding:
display  I           wgl_disp.c:245  display_pixel_format             [   0.16381] Accelarated: yes
display  I           wgl_disp.c:246  display_pixel_format             [   0.16381] Single-buffer: no
